f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,timestamp,label
0.0,0.0,0.0,-0.32378274,-0.2590262,-0.1295131,-0.5180524,-0.6105617,-0.1850187,-0.6105617,-0.90659165,-0.23127338,-0.66606736,-1.1656178,-0.27752808,-0.046254676,-0.99910104,-0.046254676,-0.03700374,-1.3876404,-0.1295131,-0.027752807,-1.6189138,-0.21277152,-0.009250935,-1.8316852,-0.27752808,0.1850187,-0.98059916,-0.06475655,0.27752808,-1.3876404,-0.1295131,0.33303368,-1.6466665,-0.20352058,0.37928835,-1.8594381,-0.26827714,0.37928835,-0.8788389,-0.11101123,0.49955052,-1.2581272,-0.1850187,0.5458052,-1.4894006,-0.24977526,0.5828089,-1.7021722,-0.29602993,0.55505615,-0.73082393,-0.16651684,0.7030711,-1.0083519,-0.24977526,0.79558045,-1.1933707,-0.286779,0.8788389,-1.3691385,-0.3145318,2025-10-30T14:59:36.959,Open_Palm
0.0,0.0,0.0,-0.36489,-0.1642005,-0.13683376,-0.62943524,-0.46523476,-0.20981175,-0.7845135,-0.72978,-0.2736675,-0.90310276,-0.9578363,-0.328401,-0.291912,-0.9578363,-0.072978,-0.35576776,-1.3318485,-0.17332275,-0.401379,-1.5599047,-0.26454526,-0.4196235,-1.7605942,-0.328401,-0.0547335,-0.9943252,-0.0912225,-0.06385575,-1.4048265,-0.1642005,-0.072978,-1.6693717,-0.24630076,-0.072978,-1.8883058,-0.31927875,0.17332275,-0.948714,-0.1277115,0.19156726,-1.3227262,-0.218934,0.2006895,-1.569027,-0.28278974,0.2006895,-1.7788388,-0.33752325,0.37401226,-0.83012474,-0.19156726,0.44699025,-1.1402812,-0.2736675,0.48347926,-1.350093,-0.3101565,0.5199683,-1.5599047,-0.3466455,2025-10-30T14:59:37.344,Open_Palm
0.0,0.0,0.0,-0.37015128,-0.1354212,-0.12639312,-0.66807795,-0.39723554,-0.1895897,-0.84863955,-0.6409937,-0.2347301,-0.99308884,-0.84863955,-0.27987048,-0.39723554,-0.9298923,-0.05416848,-0.49654442,-1.2910155,-0.1354212,-0.56876904,-1.5076895,-0.21667393,-0.62293756,-1.6972791,-0.28889856,-0.16250545,-0.98406076,-0.07222464,-0.21667393,-1.3903244,-0.1354212,-0.25278625,-1.6340826,-0.20764585,-0.27987048,-1.8417284,-0.2708424,0.05416848,-0.95697653,-0.10833696,0.03611232,-1.3361559,-0.1895897,0.01805616,-1.5618579,-0.25278625,-0.01805616,-1.7695037,-0.30695474,0.2708424,-0.88475186,-0.17153352,0.30695474,-1.1826786,-0.24375817,0.3250109,-1.3812963,-0.28889856,0.33403897,-1.5799141,-0.31598282,2025-10-30T14:59:37.682,Open_Palm
0.0,0.0,0.0,-0.3827366,-0.10935331,-0.12757887,-0.70168376,-0.35539827,-0.1913683,-0.89305204,-0.60144323,-0.23693217,-1.0479692,-0.81103706,-0.28249606,-0.43741325,-0.9112776,-0.054676656,-0.56499213,-1.2666758,-0.13669164,-0.6470071,-1.4762697,-0.21870662,-0.7199093,-1.6767508,-0.28249606,-0.20959385,-0.975067,-0.07290221,-0.29160884,-1.3760291,-0.13669164,-0.33717272,-1.6311868,-0.20959385,-0.3827366,-1.8407807,-0.2733833,0.009112776,-0.96595424,-0.10935331,-0.027338328,-1.339578,-0.1913683,-0.063789435,-1.5765102,-0.25515774,-0.100240536,-1.7861041,-0.3098344,0.2278194,-0.89305204,-0.17314275,0.25515774,-1.2028865,-0.25515774,0.25515774,-1.4124802,-0.29160884,0.25515774,-1.6129613,-0.31894717,2025-10-30T14:59:38.051,Open_Palm
0.0,0.0,0.0,-0.37015128,-0.12639312,-0.12639312,-0.677106,-0.38820747,-0.1805616,-0.84863955,-0.63196564,-0.225702,-1.0021169,-0.8396115,-0.2708424,-0.39723554,-0.9208642,-0.05416848,-0.5146006,-1.2910155,-0.1354212,-0.5958533,-1.5076895,-0.21667393,-0.6500218,-1.6972791,-0.27987048,-0.16250545,-0.98406076,-0.07222464,-0.225702,-1.3903244,-0.1354212,-0.26181433,-1.6431106,-0.20764585,-0.29792666,-1.8507565,-0.2708424,0.05416848,-0.9660046,-0.11736505,0.03611232,-1.345184,-0.19861777,0.00902808,-1.5799141,-0.26181433,-0.01805616,-1.7875599,-0.30695474,0.2708424,-0.88475186,-0.1805616,0.31598282,-1.1917067,-0.26181433,0.33403897,-1.3903244,-0.29792666,0.34306705,-1.5889422,-0.3250109,2025-10-30T14:59:38.555,Open_Palm
0.0,0.0,0.0,-0.3558566,-0.18249056,-0.14599244,-0.6113434,-0.5109736,-0.20986414,-0.7299622,-0.8029584,-0.2646113,-0.83945656,-1.0493207,-0.31023395,-0.20986414,-0.9763245,-0.09124528,-0.2554868,-1.3686792,-0.17336603,-0.28286037,-1.6059169,-0.2646113,-0.28286037,-1.8066565,-0.32848302,0.027373584,-0.99457353,-0.1003698,0.0638717,-1.4143019,-0.17336603,0.07299622,-1.6697886,-0.24636225,0.09124528,-1.8887773,-0.31023395,0.24636225,-0.92157733,-0.13686793,0.31935847,-1.3048075,-0.21898867,0.34673205,-1.5420452,-0.28286037,0.3649811,-1.7610339,-0.33760753,0.43797734,-0.8029584,-0.19161509,0.5474717,-1.0949434,-0.27373585,0.6113434,-1.2956829,-0.31935847,0.66609055,-1.4964225,-0.34673205,2025-10-30T14:59:38.915,Open_Palm
0.0,0.0,0.0,-0.35511822,-0.1912175,-0.14568952,-0.60096925,-0.51901895,-0.20942868,-0.7375532,-0.81950355,-0.26406226,-0.84682035,-1.0653546,-0.3186958,-0.1821119,-0.97429866,-0.09105595,-0.22763988,-1.3658392,-0.1821119,-0.26406226,-1.5934792,-0.26406226,-0.27316785,-1.8029078,-0.33690703,0.05463357,-0.99250984,-0.10926714,0.09105595,-1.4113673,-0.17300631,0.100161545,-1.6754295,-0.24585107,0.10926714,-1.8848581,-0.30959022,0.27316785,-0.9196651,-0.14568952,0.3733294,-1.2929945,-0.22763988,0.40975177,-1.5388455,-0.30048463,0.43706855,-1.7573799,-0.35511822,0.46438536,-0.7830812,-0.20032309,0.6100749,-1.0653546,-0.29137903,0.69202524,-1.2565721,-0.33690703,0.7739756,-1.4477897,-0.3642238,2025-10-30T14:59:39.244,Open_Palm
0.0,0.0,0.0,-0.36078915,-0.1495955,-0.1231963,-0.62478125,-0.43998677,-0.18479444,-0.8095757,-0.67757964,-0.23759286,-0.9415717,-0.87997353,-0.29039127,-0.25519234,-0.95037144,-0.07919762,-0.37838864,-1.3199604,-0.16719498,-0.466386,-1.5399537,-0.23759286,-0.5191844,-1.7247481,-0.299191,-0.008799735,-0.9943701,-0.105596825,0.008799735,-1.4079577,-0.16719498,0.01759947,-1.6719497,-0.23759286,0.03519894,-1.8743436,-0.29039127,0.21119365,-0.932772,-0.1495955,0.32559022,-1.3111606,-0.25519234,0.3959881,-1.5399537,-0.35198942,0.44878653,-1.7511474,-0.4223873,0.3959881,-0.8095757,-0.20239392,0.62478125,-1.0383688,-0.33438995,0.7831765,-1.1879643,-0.40478784,0.92397225,-1.3375598,-0.45758626,2025-10-30T14:59:39.587,Open_Palm
0.0,0.0,0.0,-0.36649436,-0.1396169,-0.11343873,-0.65445423,-0.41012466,-0.16579507,-0.85515356,-0.62827605,-0.2181514,-1.0122225,-0.79407114,-0.2617817,-0.28795987,-0.9424141,-0.06980845,-0.4363028,-1.3001825,-0.14834297,-0.5235634,-1.5183338,-0.20942536,-0.59337187,-1.701581,-0.27050775,-0.034904227,-0.99477047,-0.09598662,-0.034904227,-1.4048951,-0.14834297,-0.017452113,-1.6666768,-0.20942536,0.008726057,-1.85865,-0.2617817,0.18324718,-0.9424141,-0.1396169,0.28795987,-1.3001825,-0.23560353,0.36649436,-1.5270599,-0.3228641,0.42757678,-1.7277591,-0.39267254,0.36649436,-0.81152326,-0.2006993,0.60209787,-1.0296746,-0.3228641,0.7591669,-1.1780176,-0.39267254,0.89005774,-1.3263606,-0.4363028,2025-10-30T14:59:40.101,Open_Palm
0.0,0.0,0.0,-0.35733324,-0.13944712,-0.122016236,-0.6536584,-0.4009105,-0.17430891,-0.8628291,-0.6100812,-0.22660157,-1.0284226,-0.7669592,-0.27889425,-0.2876097,-0.9412681,-0.078439005,-0.42705682,-1.2986014,-0.16559346,-0.5142113,-1.5164875,-0.23531702,-0.58393484,-1.7082273,-0.2876097,-0.043577228,-0.9935608,-0.10458534,-0.03486178,-1.4031867,-0.15687801,-0.01743089,-1.6559346,-0.21788613,0.0,-1.8476744,-0.26146334,0.17430891,-0.9412681,-0.14816257,0.2876097,-1.3073168,-0.24403247,0.35733324,-1.5339184,-0.33118692,0.40962592,-1.7343736,-0.39219505,0.3660487,-0.81925184,-0.20917068,0.60136575,-1.037138,-0.33118692,0.75824374,-1.1853006,-0.4009105,0.88897544,-1.3421786,-0.44448772,2025-10-30T14:59:40.382,Open_Palm
